"","Estimate","Std. Error","z value","Pr(>|z|)","R2m","R2c"
"(Intercept)",-0.174659441660367,0.153971603760698,-1.13436138479029,0.256642989912264,0.0127767784729636,0.142231714258862
"SEASONWet",-0.00208677351236653,0.0299313335503793,-0.0697186949206307,0.944417561593246,0.0127767784729636,0.142231714258862
"SST_scaled",0.0148145350982819,0.0118841329528451,1.24658106376496,0.212551148611266,0.0127767784729636,0.142231714258862
"wind_scaled",-0.0213749185731345,0.0134928190693938,-1.58416995464053,0.113155048574789,0.0127767784729636,0.142231714258862
"wave_scaled",0.0677155411402399,0.0144951420513946,4.6716024513692,2.98858968042417e-06,0.0127767784729636,0.142231714258862
"tide_scaled",0.0394347445592903,0.0103695408463244,3.80294027900651,0.000142988834864111,0.0127767784729636,0.142231714258862
"lunar_sin",-0.015367979364631,0.0121441609607126,-1.26546242382226,0.20570561021239,0.0127767784729636,0.142231714258862
"lunar_cos",0.00576533055851733,0.015370012978349,0.375102517261286,0.707584224988574,0.0127767784729636,0.142231714258862
"MWD_sin",0.0412817255064739,0.0177447720208169,2.32641622321465,0.0199963569858377,0.0127767784729636,0.142231714258862
"MWD_cos",-0.0839558280295246,0.018364739560963,-4.57157738343239,4.84066461987104e-06,0.0127767784729636,0.142231714258862
"WDIR_sin",-0.124877817020858,0.0298824835429608,-4.17896380136297,2.92840286959524e-05,0.0127767784729636,0.142231714258862
"WDIR_cos",-0.176660458067187,0.0398851349610625,-4.42923054515549,9.45698871382165e-06,0.0127767784729636,0.142231714258862
