phylum,n,Site,Marker
Porifera,6,Kāneʻohe,COI
Mollusca,4,Kāneʻohe,COI
Arthropoda,3,Kāneʻohe,COI
Cnidaria,3,Kāneʻohe,COI
Rhodophyta,2,Kāneʻohe,COI
Rhodophyta,4,Lanikai,COI
Arthropoda,1,Lanikai,COI
Cnidaria,1,Lanikai,COI
Porifera,1,Lanikai,COI
Rhodophyta,26,Maunalua,COI
Porifera,9,Maunalua,COI
Cnidaria,7,Maunalua,COI
Annelida,1,Maunalua,COI
Echinodermata,1,Maunalua,COI
Ochrophyta,1,Maunalua,COI
Xenacoelomorpha,1,Maunalua,COI
Rhodophyta,17,Waimānalo,COI
Cnidaria,4,Waimānalo,COI
Ochrophyta,2,Waimānalo,COI
Porifera,2,Waimānalo,COI
Annelida,1,Waimānalo,COI
Chordata,1,Waimānalo,COI
