zeta.order,combinations,zeta.val,zeta.val.sd,Site,Marker
1,17,185.88235294117646,66.83644435573788,Kāneʻohe,COI
2,136,92.17647058823529,37.96253958528994,Kāneʻohe,COI
3,680,59.529411764705884,24.794449094149137,Kāneʻohe,COI
4,2380,45.588235294117645,22.363639080909362,Kāneʻohe,COI
5,6188,34.88235294117647,18.431909670938794,Kāneʻohe,COI
6,12376,27.41176470588235,12.369614098312706,Kāneʻohe,COI
7,19448,19.705882352941178,8.327399848409714,Kāneʻohe,COI
8,24310,17.176470588235293,4.901980392117648,Kāneʻohe,COI
9,24310,16.529411764705884,4.62490063486265,Kāneʻohe,COI
10,19448,13.705882352941176,1.3117119482928095,Kāneʻohe,COI
11,12376,13,0.9354143466934853,Kāneʻohe,COI
12,6188,12.764705882352942,0.8313702367707394,Kāneʻohe,COI
13,2380,11.705882352941176,0.46966821831386213,Kāneʻohe,COI
14,680,11.294117647058824,0.985184366143778,Kāneʻohe,COI
15,136,11.294117647058824,0.985184366143778,Kāneʻohe,COI
1,17,204.41176470588235,72.109343035013,Lanikai,COI
2,136,74.6470588235294,21.9884662279756,Lanikai,COI
3,680,45,17.5,Lanikai,COI
4,2380,30.823529411764707,13.309936580040713,Lanikai,COI
5,6188,24,10.880027573494472,Lanikai,COI
6,12376,19.823529411764707,8.726649515404288,Lanikai,COI
7,19448,17,7.035623639735144,Lanikai,COI
8,24310,13.941176470588236,5.2852458343403255,Lanikai,COI
9,24310,11.647058823529411,4.0917779825918625,Lanikai,COI
10,19448,9.941176470588236,3.4905334161717696,Lanikai,COI
11,12376,8.588235294117647,2.8297266548513957,Lanikai,COI
12,6188,6.823529411764706,2.455486054675506,Lanikai,COI
13,2380,6.235294117647059,1.9852396506689653,Lanikai,COI
14,680,5.235294117647059,1.5218989685876771,Lanikai,COI
15,136,4.9411764705882355,1.477776549215667,Lanikai,COI
1,17,327.29411764705884,83.2043904384576,Maunalua,COI
2,136,165.05882352941177,46.54630837702827,Maunalua,COI
3,680,113.41176470588235,28.768600121333268,Maunalua,COI
4,2380,87.05882352941177,22.10053898730553,Maunalua,COI
5,6188,72.94117647058823,19.249904507020595,Maunalua,COI
6,12376,61,12.52497504987535,Maunalua,COI
7,19448,51.411764705882355,8.246657076729726,Maunalua,COI
8,24310,47.64705882352941,8.1389585979303,Maunalua,COI
9,24310,44.529411764705884,5.938409373085771,Maunalua,COI
10,19448,38.23529411764706,4.279740234008162,Maunalua,COI
11,12376,36.64705882352941,4.485270009578412,Maunalua,COI
12,6188,35.470588235294116,3.9704793013379307,Maunalua,COI
13,2380,33.94117647058823,3.2107356679446166,Maunalua,COI
14,680,30.823529411764707,1.7042334830374277,Maunalua,COI
15,136,29.705882352941178,2.023755972268919,Maunalua,COI
1,17,350.11764705882354,123.773423214023,Waimānalo,COI
2,136,167.05882352941177,66.14611722187034,Waimānalo,COI
3,680,111.76470588235294,42.5580917860586,Waimānalo,COI
4,2380,78.58823529411765,35.229708385695965,Waimānalo,COI
5,6188,62.470588235294116,26.512067174823486,Waimānalo,COI
6,12376,53.529411764705884,22.715957076080965,Waimānalo,COI
7,19448,42.470588235294116,21.095371669689847,Waimānalo,COI
8,24310,37.470588235294116,17.86797990491239,Waimānalo,COI
9,24310,32.470588235294116,15.859215172332865,Waimānalo,COI
10,19448,29.235294117647058,13.953178006124205,Waimānalo,COI
11,12376,27.352941176470587,12.946723410146042,Waimānalo,COI
12,6188,25.41176470588235,11.710352383304974,Waimānalo,COI
13,2380,22.235294117647058,12.862393885688162,Waimānalo,COI
14,680,20.11764705882353,11.412067915923348,Waimānalo,COI
15,136,19.58823529411765,11.705014008585229,Waimānalo,COI
