zeta.order,combinations,zeta.val,zeta.val.sd,Marker
1,17,1,2.790869539926945e-4,COI
2,136,0.5705966875898056,0.1115428015172538,COI
3,680,0.41571504197232095,0.0901299882072265,COI
4,2380,0.3372910837177645,0.07185205065602293,COI
5,6188,0.2875293049988656,0.05694476120689362,COI
6,12376,0.256522725553959,0.04210127436023135,COI
7,19448,0.22778492021477725,0.025369935157686593,COI
8,24310,0.21069348861831655,0.02039815925364003,COI
9,24310,0.19995462451788548,0.020374014649494048,COI
10,19448,0.18649323149058458,0.030173060793545894,COI
11,12376,0.17923315435226497,0.026795077047519978,COI
12,6188,0.17204870301746955,0.02383306433211554,COI
13,2380,0.1659230129320124,0.02340105431352132,COI
14,680,0.1534447553505256,0.02086907374188584,COI
15,136,0.14603342660515767,0.018530926140466045,COI
16,17,0.11623686001663767,0.00748351622285592,COI
